article_title,revision_id,country,article_quality,population,region
Kirill Teiter,1199847042.0,Estonia,Stub,1.4,NORTHERN EUROPE
Georg Trašanov,1248969934.0,Estonia,Stub,1.4,NORTHERN EUROPE
Erik Berg (politician),1175482820.0,Finland,Stub,5.6,NORTHERN EUROPE
Arthur Brofeldt,1172784623.0,Finland,Stub,5.6,NORTHERN EUROPE
Anders Chydenius,1237345246.0,Finland,C,5.6,NORTHERN EUROPE
Selim Ekbom,1238920235.0,Finland,Stub,5.6,NORTHERN EUROPE
Simon Ekpa,1249750092.0,Finland,GA,5.6,NORTHERN EUROPE
Erik Fleming (councilor),1171255115.0,Finland,Stub,5.6,NORTHERN EUROPE
Klaus Fleming,1242155197.0,Finland,Start,5.6,NORTHERN EUROPE
Timo Furuholm,1244928673.0,Finland,C,5.6,NORTHERN EUROPE
Jakob Gadolin,1194343032.0,Finland,Start,5.6,NORTHERN EUROPE
Mikhail Fyodorovich Ganskau,1159662514.0,Finland,Stub,5.6,NORTHERN EUROPE
Carl Axel Gottlund,1241745255.0,Finland,C,5.6,NORTHERN EUROPE
Lars Gabriel von Haartman,1227056319.0,Finland,Start,5.6,NORTHERN EUROPE
Ilkka Hakalehto,1106130121.0,Finland,Stub,5.6,NORTHERN EUROPE
Shawn Huff,1248783720.0,Finland,C,5.6,NORTHERN EUROPE
Max Jakobson,1164505452.0,Finland,Start,5.6,NORTHERN EUROPE
Fritz Arthur Jusélius,1176811934.0,Finland,Stub,5.6,NORTHERN EUROPE
Aleksander von Kothen,1221166897.0,Finland,Stub,5.6,NORTHERN EUROPE
Paul Kraatz,1244843931.0,Finland,Stub,5.6,NORTHERN EUROPE
Antti Kuosmanen,1245068759.0,Finland,Stub,5.6,NORTHERN EUROPE
Carl Fabian Langenskiöld,1246601762.0,Finland,Stub,5.6,NORTHERN EUROPE
Reino Ragnar Lehto,1246163886.0,Finland,Stub,5.6,NORTHERN EUROPE
Keijo Liinamaa,1224595301.0,Finland,Start,5.6,NORTHERN EUROPE
Olavi Mäenpää,1238920237.0,Finland,Start,5.6,NORTHERN EUROPE
Nils Mustelin,1234849765.0,Finland,Start,5.6,NORTHERN EUROPE
Johan Mauritz Nordenstam,1177200759.0,Finland,C,5.6,NORTHERN EUROPE
Jaakko Numminen,1223402940.0,Finland,Stub,5.6,NORTHERN EUROPE
Kirsi Piha,1011166320.0,Finland,Stub,5.6,NORTHERN EUROPE
Toivo Topias Pohjala,1166608674.0,Finland,Stub,5.6,NORTHERN EUROPE
Karl August Ramsay,1230788776.0,Finland,Stub,5.6,NORTHERN EUROPE
Elisabeth Rehn,1223402708.0,Finland,C,5.6,NORTHERN EUROPE
Matti Saarinen,1169424743.0,Finland,Stub,5.6,NORTHERN EUROPE
Georg Magnus Sprengtporten,1249237629.0,Finland,GA,5.6,NORTHERN EUROPE
Jacob Magnus Sprengtporten,1235736355.0,Finland,C,5.6,NORTHERN EUROPE
Aleksander Strandman,1175875161.0,Finland,Stub,5.6,NORTHERN EUROPE
Christoffer Taxell,1223403006.0,Finland,Start,5.6,NORTHERN EUROPE
Heikki Heikinpoika Vaanila,1250970116.0,Finland,Stub,5.6,NORTHERN EUROPE
Jaana Vasama,1242177029.0,Finland,Stub,5.6,NORTHERN EUROPE
Miranda Vuolasranta,1147171503.0,Finland,Start,5.6,NORTHERN EUROPE
Nils Westermarck,1222041570.0,Finland,Start,5.6,NORTHERN EUROPE
Anders Wirenius,1208137842.0,Finland,Stub,5.6,NORTHERN EUROPE
Konni Zilliacus (senior),1244155264.0,Finland,Start,5.6,NORTHERN EUROPE
Jacob Magnus Sprengtporten,1235736355.0,Sweden,C,10.5,NORTHERN EUROPE
Abir Al-Sahlani,1242838276.0,Sweden,C,10.5,NORTHERN EUROPE
Abraham Brodersson,1225361777.0,Sweden,C,10.5,NORTHERN EUROPE
Leila Ali Elmi,1248971122.0,Sweden,Stub,10.5,NORTHERN EUROPE
Bengt Snivil,1249342849.0,Sweden,Stub,10.5,NORTHERN EUROPE
Rudolf Fredrik Berg,1235493370.0,Sweden,Start,10.5,NORTHERN EUROPE
Birger Jarl,1250942164.0,Sweden,C,10.5,NORTHERN EUROPE
Johan Ludvig Boye,1241170462.0,Sweden,Start,10.5,NORTHERN EUROPE
Birger Brosa,1250936688.0,Sweden,Start,10.5,NORTHERN EUROPE
Axel Brusewitz,1246686913.0,Sweden,Stub,10.5,NORTHERN EUROPE
Nils Claëson,1240184551.0,Sweden,Stub,10.5,NORTHERN EUROPE
Petrus Olai Dalekarlus,1133261700.0,Sweden,Stub,10.5,NORTHERN EUROPE
Christoffer Dulny,1241866380.0,Sweden,Start,10.5,NORTHERN EUROPE
Klas Eklund,1229156274.0,Sweden,C,10.5,NORTHERN EUROPE
Martin Ekström,1243213512.0,Sweden,Start,10.5,NORTHERN EUROPE
Nils Elowsson,1178838433.0,Sweden,Stub,10.5,NORTHERN EUROPE
Folke the Fat,1249341037.0,Sweden,Stub,10.5,NORTHERN EUROPE
Hans Reinhold von Fersen,1234257793.0,Sweden,Stub,10.5,NORTHERN EUROPE
Hemming Gadh,1191848807.0,Sweden,Start,10.5,NORTHERN EUROPE
Gösta Hallberg-Cuula,1242153764.0,Sweden,Start,10.5,NORTHERN EUROPE
Evelina Hahne,1206235608.0,Sweden,Start,10.5,NORTHERN EUROPE
Greger Helin,1196282520.0,Sweden,Start,10.5,NORTHERN EUROPE
Anders Henriksson (politician),1095370812.0,Sweden,Stub,10.5,NORTHERN EUROPE
Carl P. Herslow,1167414427.0,Sweden,Start,10.5,NORTHERN EUROPE
Holmger Knutsson,1022950956.0,Sweden,Start,10.5,NORTHERN EUROPE
Albrecht Elof Ihre,1240184590.0,Sweden,Stub,10.5,NORTHERN EUROPE
Johan Gustaf Helin,1196284420.0,Sweden,Start,10.5,NORTHERN EUROPE
Ida Karkiainen,1229897409.0,Sweden,Stub,10.5,NORTHERN EUROPE
Karl the Deaf,1250936525.0,Sweden,Stub,10.5,NORTHERN EUROPE
Gustav Kasselstrand,1248633458.0,Sweden,C,10.5,NORTHERN EUROPE
Mats Kettilmundsson,1220804432.0,Sweden,Start,10.5,NORTHERN EUROPE
Per Klarberg,1217619914.0,Sweden,Stub,10.5,NORTHERN EUROPE
Sture Korpi,1245846292.0,Sweden,Stub,10.5,NORTHERN EUROPE
Henrik Landerholm,1250601426.0,Sweden,Start,10.5,NORTHERN EUROPE
Yvonne Lindholm,1222574845.0,Sweden,Start,10.5,NORTHERN EUROPE
Peeter Luksep,1246219825.0,Sweden,Stub,10.5,NORTHERN EUROPE
Vilhelm Lundström (philologist),1247243411.0,Sweden,C,10.5,NORTHERN EUROPE
Eskil Magnusson,1249348846.0,Sweden,Start,10.5,NORTHERN EUROPE
Stig Malm,1191857507.0,Sweden,Start,10.5,NORTHERN EUROPE
Ture Malmgren,1250773402.0,Sweden,GA,10.5,NORTHERN EUROPE
Magnus Minniskiöld,1242948023.0,Sweden,C,10.5,NORTHERN EUROPE
Omar Mustafa,1209453058.0,Sweden,Start,10.5,NORTHERN EUROPE
Reto Nause,1243764649.0,Sweden,Start,10.5,NORTHERN EUROPE
Sven-Olle Olsson,1214971665.0,Sweden,Stub,10.5,NORTHERN EUROPE
Vera Oredsson,1248269143.0,Sweden,C,10.5,NORTHERN EUROPE
Gabriel Gustafsson Oxenstierna,1191855968.0,Sweden,C,10.5,NORTHERN EUROPE
Carl Fredrik Pechlin,1174570277.0,Sweden,Start,10.5,NORTHERN EUROPE
Carl Piper,1234258396.0,Sweden,Start,10.5,NORTHERN EUROPE
Filip Julius Bernhard von Platen,1179825961.0,Sweden,Stub,10.5,NORTHERN EUROPE
Tomas Polus,1192131280.0,Sweden,Stub,10.5,NORTHERN EUROPE
Nils Reuterholm,1171229279.0,Sweden,Stub,10.5,NORTHERN EUROPE
Qristina Ribohn,1245027839.0,Sweden,Start,10.5,NORTHERN EUROPE
Oliver Rosengren,1230606371.0,Sweden,Stub,10.5,NORTHERN EUROPE
Karl Gustaf Scherman,1149882720.0,Sweden,Stub,10.5,NORTHERN EUROPE
Per Sefastsson,1249534409.0,Sweden,Start,10.5,NORTHERN EUROPE
Erik Carlsson Sjöblad,1009863371.0,Sweden,Start,10.5,NORTHERN EUROPE
Erik Sparre,1250546396.0,Sweden,FA,10.5,NORTHERN EUROPE
Jimmy Ståhl,1239749367.0,Sweden,Stub,10.5,NORTHERN EUROPE
Adolf Ludvig Stierneld,1231611546.0,Sweden,Start,10.5,NORTHERN EUROPE
Vávra Suk,1245847015.0,Sweden,Stub,10.5,NORTHERN EUROPE
Peter Sunde,1250789363.0,Sweden,C,10.5,NORTHERN EUROPE
August Tamm,1245846939.0,Sweden,Stub,10.5,NORTHERN EUROPE
Robert Macfie Thorburn,1240718396.0,Sweden,Start,10.5,NORTHERN EUROPE
Jessica Thunander,1248954135.0,Sweden,Stub,10.5,NORTHERN EUROPE
Lars Törnman,1036368817.0,Sweden,Stub,10.5,NORTHERN EUROPE
Ulrika Björklund,1246219604.0,Sweden,Stub,10.5,NORTHERN EUROPE
Fredrik Vejdeland,1248630285.0,Sweden,C,10.5,NORTHERN EUROPE
Gustaf af Wetterstedt,1245847744.0,Sweden,Stub,10.5,NORTHERN EUROPE
Bertil Zachrisson,1242494191.0,Sweden,Stub,10.5,NORTHERN EUROPE
Pierre Baudis,1242210360.0,France,Start,65.9,WESTERN EUROPE
Jean-François Bazin,1249283885.0,France,Start,65.9,WESTERN EUROPE
Soheib Bencheikh,1247574563.0,France,Start,65.9,WESTERN EUROPE
Georges Berthoin,1242210523.0,France,Stub,65.9,WESTERN EUROPE
Albert Bourderon,1242210573.0,France,C,65.9,WESTERN EUROPE
Bureau de La Rivière,1186806947.0,France,Start,65.9,WESTERN EUROPE
Étienne-Laurent-Pierre Burnel,1242210968.0,France,Start,65.9,WESTERN EUROPE
Jean Capelle (politician),1242211055.0,France,Stub,65.9,WESTERN EUROPE
Ignace Caseneuve,1242211094.0,France,Start,65.9,WESTERN EUROPE
Charles Cassal,1242211126.0,France,Stub,65.9,WESTERN EUROPE
Eddy Casterman,1242211173.0,France,Start,65.9,WESTERN EUROPE
Jacques la Caze,1156612646.0,France,Stub,65.9,WESTERN EUROPE
Jean Charbonnel,1242211337.0,France,Stub,65.9,WESTERN EUROPE
Jean Auguste de Chastenet de Puységur,1242211402.0,France,Stub,65.9,WESTERN EUROPE
Pierre-Jean-Baptiste Chaussard,1226291178.0,France,Start,65.9,WESTERN EUROPE
Henri Philippe de Chauvelin,1242211499.0,France,Stub,65.9,WESTERN EUROPE
Denis Clavel,1242211544.0,France,Start,65.9,WESTERN EUROPE
Bruno Clavet,1244708767.0,France,Stub,65.9,WESTERN EUROPE
Maurice Colrat,1143025717.0,France,Stub,65.9,WESTERN EUROPE
Jean Cotereau,1204915513.0,France,Start,65.9,WESTERN EUROPE
Paul Cotte,1185924083.0,France,Stub,65.9,WESTERN EUROPE
Michel Craplet,1087935075.0,France,Stub,65.9,WESTERN EUROPE
Jacques Antoine Creuzé-Latouche,1208378471.0,France,C,65.9,WESTERN EUROPE
Yves de Daruvar,1113513795.0,France,Stub,65.9,WESTERN EUROPE
Sandra Delannoy,1235911333.0,France,Stub,65.9,WESTERN EUROPE
Victor Denain,1200165043.0,France,Start,65.9,WESTERN EUROPE
Louis Grégoire Deschamps Destournelles,1146428534.0,France,C,65.9,WESTERN EUROPE
Martial Borye Desrenaudes,1067855906.0,France,Stub,65.9,WESTERN EUROPE
Nicolas du Bosc,1067934529.0,France,Start,65.9,WESTERN EUROPE
Guillaume du Tillot,1228954562.0,France,C,65.9,WESTERN EUROPE
Théodore Ducos,1150936922.0,France,Start,65.9,WESTERN EUROPE
Édouard Dunglas,1235409307.0,France,C,65.9,WESTERN EUROPE
Jules-François-Paul Fauris de Saint-Vincens,1190836759.0,France,Start,65.9,WESTERN EUROPE
Jacques Fournier (government official),1118405005.0,France,Start,65.9,WESTERN EUROPE
Jean Frydman,1244924499.0,France,Start,65.9,WESTERN EUROPE
Xavier de Fürst,1248011706.0,France,Stub,65.9,WESTERN EUROPE
Charles Ganilh,1067808226.0,France,Start,65.9,WESTERN EUROPE
Agénor de Gasparin,1219133343.0,France,C,65.9,WESTERN EUROPE
Joseph Matthias Gérard de Rayneval,1223968504.0,France,Start,65.9,WESTERN EUROPE
Charles Le Bègue de Germiny,1226239671.0,France,C,65.9,WESTERN EUROPE
Roland Giberti,955452341.0,France,Stub,65.9,WESTERN EUROPE
Brigitte Girardin,1208933505.0,France,Start,65.9,WESTERN EUROPE
Madeleine de Grandmaison,1245655403.0,France,Stub,65.9,WESTERN EUROPE
Jean-Henry-Louis Greffulhe,1171320970.0,France,Stub,65.9,WESTERN EUROPE
Alain Griset,1177914220.0,France,Start,65.9,WESTERN EUROPE
Odette Grzegrzulka,1104771590.0,France,Start,65.9,WESTERN EUROPE
Guillaume IV de Melun,1067877319.0,France,Stub,65.9,WESTERN EUROPE
Joseph-Ignace Guillotin,1236960439.0,France,C,65.9,WESTERN EUROPE
Joseph Guinard,1226313448.0,France,Stub,65.9,WESTERN EUROPE
Maurice d'Hartoy,995050241.0,France,Stub,65.9,WESTERN EUROPE
Guy Hascoët,1211160728.0,France,Stub,65.9,WESTERN EUROPE
Paul Hay du Chastelet,1234583273.0,France,Stub,65.9,WESTERN EUROPE
Georges Humann,1082744637.0,France,GA,65.9,WESTERN EUROPE
Philippe Hurault de Cheverny,1243544132.0,France,Stub,65.9,WESTERN EUROPE
Jean Louvet (politician),1242210736.0,France,Stub,65.9,WESTERN EUROPE
Étienne de La Grange,1067940807.0,France,Stub,65.9,WESTERN EUROPE
Guillaume-Xavier Labbey de Pompières,1123950119.0,France,GA,65.9,WESTERN EUROPE
Joachim Labrouche,1153276048.0,France,Stub,65.9,WESTERN EUROPE
Chrétien François de Lamoignon de Basville,1243543068.0,France,Stub,65.9,WESTERN EUROPE
Antoine-Adrien Lamourette,1245710505.0,France,Start,65.9,WESTERN EUROPE
Hyacinthe Gaëtan de Lannion,1164055828.0,France,Stub,65.9,WESTERN EUROPE
Louis Lareng,1172945590.0,France,Stub,65.9,WESTERN EUROPE
Hippolyte Laroche,1239515352.0,France,Start,65.9,WESTERN EUROPE
Jean Le Mercier,1242753649.0,France,Start,65.9,WESTERN EUROPE
Julien Leonardelli,1244346386.0,France,Stub,65.9,WESTERN EUROPE
Charles Luca,1056918597.0,France,Stub,65.9,WESTERN EUROPE
Jacques-Antoine Manuel,1214329727.0,France,Start,65.9,WESTERN EUROPE
Jacques Marquet de Montbreton de Norvins,1226330852.0,France,Start,65.9,WESTERN EUROPE
Henri Martin (winemaker),1237299772.0,France,Start,65.9,WESTERN EUROPE
Philippe Massoni,1234574618.0,France,Stub,65.9,WESTERN EUROPE
Jean Mattéoli,1232840219.0,France,Start,65.9,WESTERN EUROPE
Charlemagne de Maupas,1058537657.0,France,C,65.9,WESTERN EUROPE
Jeanne Mélin,1212292139.0,France,C,65.9,WESTERN EUROPE
Paul Mentré,1195582162.0,France,Start,65.9,WESTERN EUROPE
Dominique Meyer,1228711565.0,France,Start,65.9,WESTERN EUROPE
Joseph François Augustin Monneron,1233379299.0,France,Stub,65.9,WESTERN EUROPE
Gérard Montassier,1224351881.0,France,Start,65.9,WESTERN EUROPE
Guillaume-Isidore Baron de Montbel,1011997346.0,France,C,65.9,WESTERN EUROPE
Bernard Morel (economist),1133063202.0,France,Start,65.9,WESTERN EUROPE
Alex Moscovitch,1189789885.0,France,Start,65.9,WESTERN EUROPE
Bernard Mourad,1234045540.0,France,Start,65.9,WESTERN EUROPE
Ilham Moussaïd,1179014867.0,France,Stub,65.9,WESTERN EUROPE
Albert Ollivier,1242209715.0,France,Stub,65.9,WESTERN EUROPE
Érik Orsenna,1242209759.0,France,Start,65.9,WESTERN EUROPE
Joseph Ostermann,1242209654.0,France,Stub,65.9,WESTERN EUROPE
Louis Pailhas,1153278086.0,France,Start,65.9,WESTERN EUROPE
Philippe Paolantoni,1204714650.0,France,Stub,65.9,WESTERN EUROPE
Alexandre Parodi,1240170365.0,France,GA,65.9,WESTERN EUROPE
Hélène Pelosse,1244217829.0,France,Start,65.9,WESTERN EUROPE
Gilles Pennelle,1244346827.0,France,Start,65.9,WESTERN EUROPE
François-Xavier de Peretti,1227759150.0,France,Stub,65.9,WESTERN EUROPE
Joseph Périer,1182278156.0,France,GA,65.9,WESTERN EUROPE
Victor Perret,1014506148.0,France,C,65.9,WESTERN EUROPE
Marc Perrin de Brichambaut,1243149451.0,France,Start,65.9,WESTERN EUROPE
Marcel Petiot,1238343251.0,France,C,65.9,WESTERN EUROPE
Henri Peyroux de la Coudrenière,1227330329.0,France,Start,65.9,WESTERN EUROPE
"Louis Phélypeaux, comte de Saint-Florentin",1174304784.0,France,Start,65.9,WESTERN EUROPE
"Louis Phélypeaux, Marquis of La Vrillière",1242496790.0,France,Start,65.9,WESTERN EUROPE
"Louis Phélypeaux, Seigneur of La Vrillière",1217063771.0,France,Stub,65.9,WESTERN EUROPE
Pierre Ferri-Pisani,1214518208.0,France,C,65.9,WESTERN EUROPE
Ernest Pinard,1097917556.0,France,C,65.9,WESTERN EUROPE
Antoine Portail,1034304794.0,France,Start,65.9,WESTERN EUROPE
Michel Pouzol,1050936152.0,France,Stub,65.9,WESTERN EUROPE
Rodolphe Prager,1083697354.0,France,Start,65.9,WESTERN EUROPE
Gabriel Puaux,1242249386.0,France,Stub,65.9,WESTERN EUROPE
"Jean-Pierre Casimir de Marcassus, Baron de Puymaurin",1237402258.0,France,Stub,65.9,WESTERN EUROPE
Jean-Marie Rausch,1240169046.0,France,Stub,65.9,WESTERN EUROPE
Marie Roch Louis Reybaud,1242211689.0,France,Start,65.9,WESTERN EUROPE
René Ribière,1226476376.0,France,Stub,65.9,WESTERN EUROPE
Antoine Richard du Cantal,1223238225.0,France,C,65.9,WESTERN EUROPE
Marthe Richard,1246003128.0,France,GA,65.9,WESTERN EUROPE
Joseph Romain-Desfossés,1144306675.0,France,Start,65.9,WESTERN EUROPE
Claude Taleb,1190063231.0,France,Stub,65.9,WESTERN EUROPE
François-Alexandre Tardiveau,1186831209.0,France,Stub,65.9,WESTERN EUROPE
Jean Tavernier,1238919580.0,France,Stub,65.9,WESTERN EUROPE
François Auguste de Thou,1138918376.0,France,Stub,65.9,WESTERN EUROPE
Charles de Varigny,1242210186.0,France,C,65.9,WESTERN EUROPE
Gaston Vidal,1242210222.0,France,Stub,65.9,WESTERN EUROPE
Jean-Paul-Alban Villeneuve-Barcement,1242210246.0,France,Stub,65.9,WESTERN EUROPE
Mathurin Anghiley,1177650175.0,Gabon,Stub,2.4,MIDDLE AFRICA
Anguilè Ré-Dowé,1242381206.0,Gabon,Start,2.4,MIDDLE AFRICA
Jean-Hilaire Aubame,1239996953.0,Gabon,GA,2.4,MIDDLE AFRICA
Ida Reteno Assonouet,1152970577.0,Gabon,Stub,2.4,MIDDLE AFRICA
Lee White (conservationist),1186832805.0,Gabon,Stub,2.4,MIDDLE AFRICA
Amie Bojang-Sissoho,1237362851.0,Gambia,Start,2.8,WESTERN AFRICA
Abdoulie Bojang,1233734473.0,Gambia,Stub,2.8,WESTERN AFRICA
Buba Samura,1244830184.0,Gambia,Stub,2.8,WESTERN AFRICA
Mai Fatty,1151066074.0,Gambia,Stub,2.8,WESTERN AFRICA
Modou Bamba Gaye,1151065994.0,Gambia,Stub,2.8,WESTERN AFRICA
Amadou Scattred Janneh,1214288012.0,Gambia,C,2.8,WESTERN AFRICA
Fabakary Jatta,1248653384.0,Gambia,Start,2.8,WESTERN AFRICA
Dawda Jawara,1248194414.0,Gambia,C,2.8,WESTERN AFRICA
Joseph Henry Joof,1243508400.0,Gambia,Stub,2.8,WESTERN AFRICA
Ajaaratou Satang Jow,1175733791.0,Gambia,Stub,2.8,WESTERN AFRICA
Kunda Kamara,1244830178.0,Gambia,Stub,2.8,WESTERN AFRICA
Fatou Sanyang Kinteh,1247250306.0,Gambia,Start,2.8,WESTERN AFRICA
Muhammed Magassy,1151065996.0,Gambia,Start,2.8,WESTERN AFRICA
Alieu Badara Njie,1249462265.0,Gambia,Start,2.8,WESTERN AFRICA
Momodou Sabally,1243625627.0,Gambia,Start,2.8,WESTERN AFRICA
Lamin Saine,1137915624.0,Gambia,Start,2.8,WESTERN AFRICA
Pap Cheyassin Secka,1247083871.0,Gambia,C,2.8,WESTERN AFRICA
Alieu Badara Saja Taal,1247050844.0,Gambia,Stub,2.8,WESTERN AFRICA
Werner E. Ablaß,1242018201.0,Germany,Start,84.9,WESTERN EUROPE
Shqiprim Arifi,1245996635.0,Germany,Start,84.9,WESTERN EUROPE
Lena Arnoldt,1228301192.0,Germany,Start,84.9,WESTERN EUROPE
Rudolf Bahro,1246514462.0,Germany,C,84.9,WESTERN EUROPE
Otto Ballerstedt,1189113633.0,Germany,C,84.9,WESTERN EUROPE
Bruno Baum,1245092447.0,Germany,Start,84.9,WESTERN EUROPE
Karl Theodor Bayrhoffer,1137678089.0,Germany,C,84.9,WESTERN EUROPE
Otto Beck,1226154964.0,Germany,Start,84.9,WESTERN EUROPE
Gerhard Besier,1248500772.0,Germany,C,84.9,WESTERN EUROPE
Georg von Blumenthal,1243051498.0,Germany,C,84.9,WESTERN EUROPE
Johann Christian von Boyneburg,1249921858.0,Germany,Stub,84.9,WESTERN EUROPE
Torben Braga,1248547868.0,Germany,Start,84.9,WESTERN EUROPE
Ignatz Bubis,1191575496.0,Germany,C,84.9,WESTERN EUROPE
Wolf-Michael Catenhusen,1239972537.0,Germany,Start,84.9,WESTERN EUROPE
John Ehret,1237258272.0,Germany,Start,84.9,WESTERN EUROPE
Dieter Engels,1165387534.0,Germany,Stub,84.9,WESTERN EUROPE
Christian Wilhelm Karl Ewald,1226174343.0,Germany,Stub,84.9,WESTERN EUROPE
Christian August von Eyben,1150862730.0,Germany,Start,84.9,WESTERN EUROPE
Georg Fein,1222221753.0,Germany,Start,84.9,WESTERN EUROPE
Heinrich Fleißner,1069865479.0,Germany,Start,84.9,WESTERN EUROPE
Winfried Fockenberg,1225418442.0,Germany,Stub,84.9,WESTERN EUROPE
Friedrich Johannes Frommann,1093387022.0,Germany,Start,84.9,WESTERN EUROPE
Paul Fugger von Kirchberg und Weißenhorn,1226181306.0,Germany,Stub,84.9,WESTERN EUROPE
Günter Gaus,1246337794.0,Germany,GA,84.9,WESTERN EUROPE
Friedrich von Gentz,1248790750.0,Germany,C,84.9,WESTERN EUROPE
Carl Heinrich Wilhelm Hagen,1226188291.0,Germany,Stub,84.9,WESTERN EUROPE
Gert Haller,1068252041.0,Germany,Stub,84.9,WESTERN EUROPE
Ludwig Hassenpflug,1226116184.0,Germany,C,84.9,WESTERN EUROPE
Hermann Heller (legal scholar),1244979496.0,Germany,C,84.9,WESTERN EUROPE
Jakob Heller,1154908966.0,Germany,Stub,84.9,WESTERN EUROPE
Ernst Henrici,1239894377.0,Germany,B,84.9,WESTERN EUROPE
Rudolf Hilf,1065378015.0,Germany,Start,84.9,WESTERN EUROPE
Joseph Hillebrand,1220777049.0,Germany,Start,84.9,WESTERN EUROPE
Franka Hitzing,1228300948.0,Germany,Start,84.9,WESTERN EUROPE
Herwart von Hohenburg,1247120291.0,Germany,Start,84.9,WESTERN EUROPE
"Franz Christoph Anton, Count of Hohenzollern-Sigmaringen",1244334799.0,Germany,Start,84.9,WESTERN EUROPE
Friedrich von Holstein,1234065530.0,Germany,C,84.9,WESTERN EUROPE
Martin Horn (politician),1143929714.0,Germany,Start,84.9,WESTERN EUROPE
Christoph Ernst von Houwald,1241312980.0,Germany,Start,84.9,WESTERN EUROPE
Bernd Hüttemann,1230379647.0,Germany,Start,84.9,WESTERN EUROPE
Emilie Kiep-Altenloh,1161356025.0,Germany,Stub,84.9,WESTERN EUROPE
Johann Ludwig Klüber,1242565581.0,Germany,Stub,84.9,WESTERN EUROPE
Werner Knieper,1188787560.0,Germany,Start,84.9,WESTERN EUROPE
Caio Koch-Weser,1215567546.0,Germany,C,84.9,WESTERN EUROPE
Tobias Köck,1222073597.0,Germany,Start,84.9,WESTERN EUROPE
Francis Kruse,1226779277.0,Germany,Stub,84.9,WESTERN EUROPE
Gottlob Johann Christian Kunth,1233135330.0,Germany,Start,84.9,WESTERN EUROPE
Dieter Kunzelmann,1231353179.0,Germany,C,84.9,WESTERN EUROPE
Marianne Laqueur,1241574430.0,Germany,C,84.9,WESTERN EUROPE
Charles Lavy,1226204581.0,Germany,Stub,84.9,WESTERN EUROPE
Karl Ledderhose,1240898056.0,Germany,GA,84.9,WESTERN EUROPE
Felix Lichnowsky,1226205451.0,Germany,Start,84.9,WESTERN EUROPE
Moriz Lieber,1222045087.0,Germany,Start,84.9,WESTERN EUROPE
Ludwig von Lützow (politician),1239513332.0,Germany,Stub,84.9,WESTERN EUROPE
Carl Otto von Madai,1240634849.0,Germany,Stub,84.9,WESTERN EUROPE
Armin Mohler,1245358961.0,Germany,GA,84.9,WESTERN EUROPE
Max Montgelas,1226211497.0,Germany,Start,84.9,WESTERN EUROPE
Wolfgang Müller von Königswinter,1223428429.0,Germany,C,84.9,WESTERN EUROPE
Joseph Musiol,1173064538.0,Germany,Start,84.9,WESTERN EUROPE
Theodor Olshausen,1242256661.0,Germany,Start,84.9,WESTERN EUROPE
Dietrich Heinrich Ludwig von Ompteda,1242565618.0,Germany,Start,84.9,WESTERN EUROPE
Max von Oppenheim,1240981396.0,Germany,FA,84.9,WESTERN EUROPE
Christian Theodor Overbeck,1240259800.0,Germany,Stub,84.9,WESTERN EUROPE
Hans Paasche,1240891443.0,Germany,C,84.9,WESTERN EUROPE
Walter von Saint Paul-Illaire,1227931073.0,Germany,C,84.9,WESTERN EUROPE
Friedrich-Carl Peus,1240004651.0,Germany,Stub,84.9,WESTERN EUROPE
H. Busso Peus,1240004707.0,Germany,Stub,84.9,WESTERN EUROPE
Franz Seraph von Pfistermeister,1231553705.0,Germany,Start,84.9,WESTERN EUROPE
Adolf Pilar von Pilchau,1237840723.0,Germany,Start,84.9,WESTERN EUROPE
Gunter Pleuger,1104322145.0,Germany,Stub,84.9,WESTERN EUROPE
Johan Rantzau,1240776519.0,Germany,Start,84.9,WESTERN EUROPE
Prince Richard of Hesse,1240804152.0,Germany,GA,84.9,WESTERN EUROPE
Nela Riehl,1242962207.0,Germany,Stub,84.9,WESTERN EUROPE
Moritz Rittinghausen,1144503312.0,Germany,B,84.9,WESTERN EUROPE
Hermann Schäfer,1221143754.0,Germany,C,84.9,WESTERN EUROPE
Mike Schubert,1210860457.0,Germany,C,84.9,WESTERN EUROPE
Eduard von Schele zu Schelenburg,1231553871.0,Germany,Stub,84.9,WESTERN EUROPE
Paul Schiemann,1234101505.0,Germany,C,84.9,WESTERN EUROPE
Ernst Wilhelm von Schlabrendorf,1001280832.0,Germany,Stub,84.9,WESTERN EUROPE
Friedrich Gustav Carl Ulrich Franz von Schnehen,971361950.0,Germany,Stub,84.9,WESTERN EUROPE
"Joachim, Count of Schönburg-Glauchau",1235919925.0,Germany,C,84.9,WESTERN EUROPE
Peter Schott,1158805969.0,Germany,Start,84.9,WESTERN EUROPE
"Adam, Count of Schwarzenberg",1243650424.0,Germany,C,84.9,WESTERN EUROPE
Veit Ludwig von Seckendorff,1228470873.0,Germany,C,84.9,WESTERN EUROPE
Paul Spiegel,1249590782.0,Germany,C,84.9,WESTERN EUROPE
Ashok-Alexander Sridharan,1250926280.0,Germany,C,84.9,WESTERN EUROPE
Gerhard Stahl,1237391547.0,Germany,C,84.9,WESTERN EUROPE
Karl von Starck,1236241537.0,Germany,Stub,84.9,WESTERN EUROPE
Henry Ernest of Stolberg-Wernigerode,1230350617.0,Germany,Start,84.9,WESTERN EUROPE
